DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
AV. LEANDRO VALLE;C. FCO. J. MINA;SAN LORENZO ACOPILCO;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.325989;19.330698;19.330698,-99.325989;9m;SIN WIFI
CAMINO AL DESIERTO DE LOS LEONES;CARR. A STA. ROSA;SAN MATEO TLALTENANGO;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.286832;19.329743;19.329743,-99.286832;9m;WIFI GRATUITO_ACTIVO
CARR. MEXICO TOLUCA;C. COAHUILA;CUAJIMALPA;CUAJIMALPA;SIN BOTON;SIN ALTAVOZ;-99.29699;19.351209;19.351209,-99.29699;9m;WIFI GRATUITO_ACTIVO
CARRETERA SAN MATEO SANTA ROSA;CAMINO A SANTA LUCIA;LOMAS DEL OCOTE;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.277959;19.351989;19.351989,-99.277959;9m;SIN WIFI
AV. CARLOS LAZO;AV. SANTA FE;CRUZ MANCA;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.265536;19.362905;19.362905,-99.265536;9m;SIN WIFI
AUTOPISTA MEXICO - TOLUCA;ENTRE C. JUAN Y C. JUAN SEGURA;CRUZ MANCA;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.269278;19.361544;19.361544,-99.269278;9m;SIN WIFI
C. PASEO DE LOS TAMARINDOS;C. BOSQUE DE TABACHINES;BOSQUES DE LAS LOMAS;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.25107;19.389117;19.389117,-99.25107;9m;SIN WIFI
C. PASEO DE LOS LAURELES;C. BOSQUES DE TEJOCOTES;BOSQUES DE LAS LOMAS;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.257256;19.386741;19.386741,-99.257256;9m;WIFI GRATUITO_ACTIVO
CARRETERA  MEXICO - TOLUCA;C. BOSQUE DE ALISOS;COOPERATIVA PALO ALTO;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.24758;19.386149;19.386149,-99.24758;9m;WIFI GRATUITO_ACTIVO
C. LOMA DEL PARQUE;C. LOMA FLORIDA;FRAC. LOMAS DE VISTA HERMOSA;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.272973;19.377328;19.377328,-99.272973;9m;WIFI GRATUITO_ACTIVO
C. PASEO DE LOS AHUEHUETES NORTE;C. BOSQUES DE PIRULES;BOSQUES DE LAS LOMAS;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.259439;19.393868;19.393868,-99.259439;9m;WIFI GRATUITO_ACTIVO
AV. S.T.I.M.;AV. FABRICA DE CARTUCHOS;LOMAS DEL CHAMIZAL.;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.262545;19.388432;19.388432,-99.262545;9m;SIN WIFI
C. PASEO DE LOS TAMARINDOS;C. BOSQUE DE TABACHINES;BOSQUES DE LAS LOMAS;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.25956;19.380285;19.380285,-99.25956;9m;SIN WIFI
C. CONSTITUYENTE HECTOR VICTORIA;C. MELCHOR;LA NAVIDAD;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.284923;19.376343;19.376343,-99.284923;9m;SIN WIFI
C. JULIAN ADAME;C. GRAL. FRANCISCO VILLAREAL;JARDINES DE LA PALMA;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.282272;19.368909;19.368909,-99.282272;9m;WIFI GRATUITO_ACTIVO
AVENIDA JESUS DEL MONTE;C. VIOLETA;SAN JOSE DE LOS CEDROS 2da. SECC.;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.292479;19.368369;19.368369,-99.292479;9m;WIFI GRATUITO_ACTIVO
CARRETERA A MEXICO - TOLUCA;C. ANTONIO ANCONA;RANCHO LOCAXCO;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.291335;19.356649;19.356649,-99.291335;9m;WIFI GRATUITO_ACTIVO
C. PUERTO MEXICO;CALZADA AL TECNOLOGICO;SAN PABLO CHIMALPA;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.317889;19.346248;19.346248,-99.317889;9m;SIN WIFI
C. LEOPOLDO ROMANO;PROL. HIDALGO;ADOLFO LOPEZ MATEOS;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.296795;19.364223;19.364223,-99.296795;9m;WIFI GRATUITO_ACTIVO
C. DEL MORAL;C. 25 DE DICIEMBRE;JARDINES DE LA PALMA;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.283742;19.370986;19.370986,-99.283742;9m;WIFI GRATUITO_ACTIVO
CARRETERA MEXICO TOLUCA;AV. VERACRUZ;EL PUENTE;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.302072;19.350017;19.350017,-99.302072;9m;WIFI GRATUITO_ACTIVO
C. OCAMPO;C. LEANDRO VALLE;SAN LORENZO ACOPILCO;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.326493;19.329876;19.329876,-99.326493;9m;SIN WIFI
AUTOPISTA CONSTITUYENTES LA VENTA;AV. TAMAULIPAS;ARCONSA ESTRELLA;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.276262;19.356781;19.356781,-99.276262;9m;SIN WIFI
C. LAZARO CARDENAS;RETORNO CRUZ MANCA;SAN MATEO TLALTENANGO;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.273842;19.344458;19.344458,-99.273842;9m;WIFI GRATUITO_ACTIVO
C. SAN JOSE DE LOS CEDROS;C. PIÑON;SAN JOSE DE LOS CEDROS;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.287901;19.36956;19.36956,-99.287901;9m;WIFI GRATUITO_ACTIVO
C. JOSE MARIA CASTORENA;C. TAMAULIPAS;LA CANDELARIA;CUAJIMALPA;SIN BOTON;CON ALTAVOZ;-99.294032;19.358055;19.358055,-99.294032;9m;WIFI GRATUITO_ACTIVO
C. OCAMPO;AV. MEXICO;CUAJIMALPA;CUAJIMALPA;CON BOTON;SIN ALTAVOZ;-99.300513;19.35621;19.35621,-99.300513;9m;WIFI GRATUITO_ACTIVO
C. ORUREÑOS;C. ABANCAINOS;LA PRESA;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.210843;19.382083;19.382083,-99.210843;9m;WIFI GRATUITO_ACTIVO
PRIV. PROLONGACION CALLE 4;C. 4;LA HERRADURA;ALVARO OBREGON;SIN BOTON;CON ALTAVOZ;-99.209842;19.344498;19.344498,-99.209842;9m;WIFI GRATUITO_ACTIVO
C. BARRANCA PILARES;2da. CDA. PILARES;AGUILAS PILARES;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.204;19.355132;19.355132,-99.204;9m;WIFI GRATUITO_ACTIVO
C. RIO DE GUADALUPE;AND. ARRECIFE;AMPL. LAS AGUILAS;ALVARO OBREGON;SIN BOTON;CON ALTAVOZ;-99.214615;19.347295;19.347295,-99.214615;9m;SIN WIFI
AVENIDA SANTA LUCIA;C. RIO BECERRA;ALFONSO XIII;ALVARO OBREGON;SIN BOTON;CON ALTAVOZ;-99.19217;19.383785;19.383785,-99.19217;9m;WIFI GRATUITO_ACTIVO
AV. SUR 122;ENTRE AV. RIO TACUBAYA Y CALZ. MINAS DE ARENA;JOSE MARIA PINO SUAREZ;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.199292;19.398463;19.398463,-99.199292;9m;WIFI GRATUITO_ACTIVO
C. MANUEL DOBLADO;C. BENITO JUAREZ;LIBERALES DE 1857;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.215513;19.3921;19.3921,-99.215513;9m;WIFI GRATUITO_ACTIVO
AV. JALISCO;C. ARQ. CARLOS LAZO;TACUBAYA;MIGUEL HIDALGO;SIN BOTON;CON ALTAVOZ;-99.187435;19.402059;19.402059,-99.187435;9m;SIN WIFI
C. JORGE WASHINGTON;CALZ. SANTA ANITA;MODERNA;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.133462;19.398776;19.398776,-99.133462;9m;WIFI GRATUITO_ACTIVO
C. BASOPAS;C. SABAIBOS;CARACOL;COYOACAN;CON BOTON;CON ALTAVOZ;-99.16373;19.303823;19.303823,-99.16373;9m;WIFI GRATUITO_ACTIVO
AV. UNIVERSIDAD;C. CERRO ACASULCO;ROMERO DE TERREROS;COYOACAN;CON BOTON;CON ALTAVOZ;-99.181496;19.341898;19.341898,-99.181496;9m;WIFI GRATUITO_ACTIVO
AV. REFORMA;EJE 1  MOSQUETA;GUERRERO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.139881;19.444156;19.444156,-99.139881;9m;WIFI GRATUITO_ACTIVO
C. PEDRO NOLASCO;C. APANGO;CUAUTEPEC EL ALTO;GUSTAVO A. MADERO;CON BOTON;SIN ALTAVOZ;-99.133353;19.556991;19.556991,-99.133353;9m;WIFI GRATUITO_ACTIVO
CALZ. IGNACIO ZARAGOZA;C. CAYETANO ANDRADE;PUEBLO SANTA MARTHA ACATITLA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.004827;19.363561;19.363561,-99.004827;9m;SIN WIFI
C. ORESTES PEREYRA;C. BATALLA DE ANGOSTURA;CONJUNTO HAB. ALVARO OBREGON;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.038024;19.376092;19.376092,-99.038024;9m;WIFI GRATUITO_ACTIVO
C. DIODORO BATALLA;C. SOLON ARGUELLO;SANTA MARTHA ACATITLA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.022406;19.375579;19.375579,-99.022406;9m;SIN WIFI
AV. JALISCO;C. NARANJO;SANTA MARIA AZTAHUACAN;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.020689;19.349959;19.349959,-99.020689;9m;WIFI GRATUITO_ACTIVO
C. RODRIGO VALDEZ;AV. EXPL. EJERCITO DE ORIENTE.;U. H. EJERCITO DE ORIENTE SECC. I;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.027338;19.368548;19.368548,-99.027338;9m;WIFI GRATUITO_ACTIVO
C. SOLEDAD;C. LAS FLORES;P. SAN NICOLAS TOTOLAPAN;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.243363;19.297371;19.297371,-99.243363;9m;WIFI GRATUITO_ACTIVO
C. VICENTE GUERRERO;ENTRE C. CANAL Y C. F.F.C.C DE CUERNAVACA;P. SAN NICOLAS TOTOLPAN;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.233283;19.30003;19.30003,-99.233283;9m;WIFI GRATUITO_ACTIVO
C. DIAZ MIRON;C. PLAN DE AYALA;SANTO TOMAS;MIGUEL HIDALGO;SIN BOTON;CON ALTAVOZ;-99.172633;19.45143;19.45143,-99.172633;9m;WIFI GRATUITO_ACTIVO
AV. PRADO NORTE;AV. PASEO DE LA REFORMA;LOMAS DE CHAPULTEPEC 5A SECC.;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.20588;19.426923;19.426923,-99.20588;9m;WIFI GRATUITO_ACTIVO
C. CAMINO DE LOS TOROS;C. BARRANQUILLA;DANIEL GARZA;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.200716;19.402645;19.402645,-99.200716;9m;WIFI GRATUITO_ACTIVO
C. F. C. CUERNAVACA;C. CARPIO;PLUTARCO E. CALLES;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.173464;19.453183;19.453183,-99.173464;9m;WIFI GRATUITO_ACTIVO
C. GITANA;C. MUZIO CLEMENTI;LA NOPALERA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.054387;19.298935;19.298935,-99.054387;9m;WIFI GRATUITO_ACTIVO
BOULEVARD A RUIZ CORTINEZ;C. VIADUCTO TLALPAN;GUADALUPE;TLALPAN;SIN BOTON;CON ALTAVOZ;-99.150857;19.289645;19.289645,-99.150857;9m;SIN WIFI
C. JOSE GARCIA PRECIAT;C. GUADALUPE VICTORIA (ANTES IGNACIO MARIANO CASAS);AMPLIACION MIGUEL HIDALGO 2da. SECCION;TLALPAN;CON BOTON;CON ALTAVOZ;-99.199774;19.278202;19.278202,-99.199774;9m;WIFI GRATUITO_ACTIVO
AV. INSURGENTES SUR;AV. INSURGENTES SUR (RETORNO);BARRIO EL TRUENITO;TLALPAN;CON BOTON;CON ALTAVOZ;-99.167426;19.278316;19.278316,-99.167426;9m;WIFI GRATUITO_ACTIVO
C. CUTBERTO AROCHE;C. E. AGUIRRE COLORADO;Z.U. STA. MARTHA ACATITLA NORTE;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.110305;19.294364;19.294364,-99.110305;9m;WIFI GRATUITO_ACTIVO
CALZADA DE TLALPAN;ANILLO PERIFERICO PDTE. ADOLFO RUIZ CORTINEZ;BELISARIO DOMINGUEZSECC XVI;TLALPAN;N/A;N/A;-99.155364;19.295064;19.295064,-99.155364;20m;SIN WIFI
CIRCUITO INTERIOR BLVD;C. NORTE 29;MOCTEZUMA 2A SECCION;VENUSTIANO CARRANZA;N/A;N/A;-99.090183;19.431328;19.431328,-99.090183;20m;SIN WIFI
C. MTRO. DESIDERIO PEÑA;C. PROLONGACION DESIDERIO PEÑA;SAN JERONIMO;XOCHIMILCO;CON BOTON;CON ALTAVOZ;-99.088618;19.250002;19.250002,-99.088618;9m;WIFI GRATUITO_ACTIVO
C. LIC. MARTINEZ DE CASTRO;C. RIO;ARENAL SAN MATEO XALPA;XOCHIMILCO;SIN BOTON;CON ALTAVOZ;-99.130539;19.232065;19.232065,-99.130539;9m;WIFI GRATUITO_ACTIVO
ANILLO PERIFERICO;ENTRE AV. CANAL NACIONAL Y AV. CANAL DE CHALCO;BARRIO 18;XOCHIMILCO;N/A;N/A;-99.093651;19.298739;19.298739,-99.093651;20m;SIN WIFI
C. MAYAS;C. AZTECAS;U. HAB. EL ROSARIO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.201055;19.508069;19.508069,-99.201055;9m;WIFI GRATUITO_ACTIVO
ORIENTE 85;NORTE 74;LA JOYA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.109461;19.456531;19.456531,-99.109461;9m;WIFI GRATUITO_ACTIVO
RET. HERMILIO HEREDIA;AND. 23 FCO. J. MACIN;CTM EL RISCO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.09521;19.50967;19.50967,-99.09521;9m;WIFI GRATUITO_ACTIVO
AV. MIGUEL OTHON DE MENDIZABAL;TORRES DE LINDAVISTA;UNIDAD PROF. ADOLFO LOPEZ MATEOS;GUSTAVO A. MADERO;SIN BOTON;CON ALTAVOZ;-99.144739;19.507269;19.507269,-99.144739;9m;WIFI GRATUITO_ACTIVO
C. DANIEL;C. SARA;GUADALUPE TEPEYAC;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.120643;19.464043;19.464043,-99.120643;9m;WIFI GRATUITO_ACTIVO
C. RAUL HELMER;C. AGUSTIN LARA;COMPOSITORES MEXICANOS;GUSTAVO A. MADERO;SIN BOTON;CON ALTAVOZ;-99.14031;19.565978;19.565978,-99.14031;9m;SIN WIFI
AV. A. DE GUADALUPE;C. 1;AMPL. GUADALUPE PROLETARIA;GUSTAVO A. MADERO;N/A;N/A;-99.151786;19.522166;19.522166,-99.151786;20m;SIN WIFI
AV. GRAN CANAL DE DESAGÜE;C. 314;NUEVA ATZACOALCO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.081758;19.499455;19.499455,-99.081758;9m;WIFI GRATUITO_ACTIVO
CIRCUITO UNTERIOR AV. RIO CONSULADO;C. CONSTANTINO;VALLEJO;GUSTAVO A. MADERO;N/A;N/A;-99.130465;19.463521;19.463521,-99.130465;20m;SIN WIFI
C. MARTINEZ ESCOBAR;AND. 20 L. YUREN;CTM EL RISCO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.09602;19.510767;19.510767,-99.09602;9m;WIFI GRATUITO_ACTIVO
CANAL DESFOGUE;AV. FC. HIDALGO (AV CENTENARIO);JUAN GLEZ. ROMERO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.092501;19.505731;19.505731,-99.092501;9m;WIFI GRATUITO_ACTIVO
C. DONIZETTI;C.TETRAZZINI;VALLEJO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.131383;19.467072;19.467072,-99.131383;9m;WIFI GRATUITO_ACTIVO
PARADERO INDIOS VERDES;CALZ. TICOMAN;SANTA ISABEL TOLA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.120865;19.494707;19.494707,-99.120865;9m;SIN WIFI
CALZ. MISTERIOS;C. RICARTE;TEPEYAC INSURGENTES;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.119779;19.481902;19.481902,-99.119779;9m;SIN WIFI
C. ORIENTE 115;C. NORTE 82-B;GERTRUDIS SANCHEZ  2DA. SECCION;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.101293;19.464935;19.464935,-99.101293;9m;WIFI GRATUITO_ACTIVO
EJE CENTRAL LAZARO CARDENAS;CIRCUITO INTERIOR AV. RIO CONSULADO;PERALVILLO;CUAUHTEMOC;N/A;N/A;-99.137603;19.464899;19.464899,-99.137603;20m;SIN WIFI
C. NORTE 82;C. ORIENTE 91;NUEVA TENOCHTITLAN;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.104812;19.45748;19.45748,-99.104812;9m;WIFI GRATUITO_ACTIVO
CALZ. VALLEJO;ENTRE C. PONIENTE 152 Y C. PONIENTE 146;U.H. LINDAVISTA VALLEJO;GUSTAVO A. MADERO;SIN BOTON;CON ALTAVOZ;-99.156189;19.500942;19.500942,-99.156189;9m;WIFI GRATUITO_ACTIVO
AV. VICTORIA ORIENTE;C. NORTE 84 A;GERTRUDIS SANCHEZ  2DA. SECCION;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.100038;19.46549;19.46549,-99.100038;9m;WIFI GRATUITO_ACTIVO
AV. CONGRESO DE LA UNION;C. ORIENTE 171;AMP. SAN JUAN DE ARAGON;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.107157;19.476641;19.476641,-99.107157;9m;WIFI GRATUITO_ACTIVO
C. ANTONIO RUIZ GALINDO;C. NORTE 84 A;SAN PEDRO EL CHICO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.097738;19.471349;19.471349,-99.097738;9m;WIFI GRATUITO_ACTIVO
AV. ANGEL ALBINO CORZO;C. NORTE 70;TABLAS DE SAN AGUSTIN;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.108982;19.462818;19.462818,-99.108982;9m;WIFI GRATUITO_ACTIVO
AV. INSURGENTES NORTE;C. BRAHMS;VALLEJO PONIENTE;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.139427;19.469344;19.469344,-99.139427;9m;WIFI GRATUITO_ACTIVO
CALZ. VALLEJO;EJE 5 NORTE PONIENTE 140;INDUSTRIAL VALLEJO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.154439;19.495377;19.495377,-99.154439;9m;WIFI GRATUITO_ACTIVO
AV. CENTRAL;2a. CDA. 28-B;SAN JOSE DE LA ESCALERA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.165918;19.527777;19.527777,-99.165918;9m;SIN WIFI
C. CLAVE;C. WAGNER;VALLEJO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.128552;19.465475;19.465475,-99.128552;9m;WIFI GRATUITO_ACTIVO
C. PONIENTE 152;EJE CENTRAL LAZARO CARDENAS;U. H. LINDAVISTA VALLEJO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.149259;19.499575;19.499575,-99.149259;9m;WIFI GRATUITO_ACTIVO
C. PESETAS;C. DENARIOS;EX ESCUELA DE TIRO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.099293;19.453067;19.453067,-99.099293;9m;WIFI GRATUITO_ACTIVO
EJE 3 ORIENTE AV. ING. EDUARDO MOLINA;C. ORIENTE 85;NUEVA TENOCHTITLAN;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.107631;19.454969;19.454969,-99.107631;9m;WIFI GRATUITO_ACTIVO
EJE 4 NORTE;C. NORTE 86;GERTRUDIS SANCHEZ 2a. SECC.;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.098474;19.468657;19.468657,-99.098474;9m;WIFI GRATUITO_ACTIVO
C. CECILIO ROBELO;C. M. RIVERA CAMBAS;JARDIN BALBUENA;VENUSTIANO CARRANZA;CON BOTON;CON ALTAVOZ;-99.107695;19.422371;19.422371,-99.107695;9m;WIFI GRATUITO_ACTIVO
AVENIDA LEON DE LOS ALDAMAS;C. SALAGUA;SAN FELIPE DE JESUS;GUSTAVO A. MADERO;SIN BOTON;CON ALTAVOZ;-99.075211;19.499828;19.499828,-99.075211;9m;WIFI GRATUITO_ACTIVO
C. TEOLOYUCAN;C. ATIZAPAN DE ZARAGOZA;SAN FELIPE DE JESUS;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.068701;19.498304;19.498304,-99.068701;9m;WIFI GRATUITO_ACTIVO
AVENIDA FRANCISCO MORAZAN;C. ESTADO DE DURANGO;U. H. SN JUAN DE ARAGON 7A SEC.;GUSTAVO A. MADERO;SIN BOTON;CON ALTAVOZ;-99.074524;19.478989;19.478989,-99.074524;9m;WIFI GRATUITO_ACTIVO
C. IZCOATL;C. MOCTEZUMA;LA PASTORA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.139325;19.523492;19.523492,-99.139325;9m;WIFI GRATUITO_ACTIVO
C. EDO. DE GUANAJUATO;C. EDO MORELOS;PROVIDENCIA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.06818;19.482669;19.482669,-99.06818;9m;WIFI GRATUITO_ACTIVO
C. ELECTRICISTAS;C. ROTOGRABADO;20 DE NOVIEMBRE;VENUSTIANO CARRANZA;CON BOTON;CON ALTAVOZ;-99.109787;19.44546;19.44546,-99.109787;9m;WIFI GRATUITO_ACTIVO
AVENIDA 506;AVENIDA 551;U.H SAN JUAN DE ARAGON 2DA SECC.;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.085384;19.454692;19.454692,-99.085384;9m;WIFI GRATUITO_ACTIVO
AVENIDA 541;AVENIDA 504;SAN JUAN DE ARAGON 2DA SECC;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.088993;19.451581;19.451581,-99.088993;9m;WIFI GRATUITO_ACTIVO
C. TLACOS;AVENIDA EMILIANO ZAPATA;EX ESCUELA DE TIRO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.098895;19.456619;19.456619,-99.098895;9m;WIFI GRATUITO_ACTIVO
C. BRAVO;C. HEROE DE NACOZARI;ZONA CENTRO;VENUSTIANO CARRANZA;CON BOTON;CON ALTAVOZ;-99.122127;19.43618;19.43618,-99.122127;9m;WIFI GRATUITO_ACTIVO
C. ORIENTE 83;C. NORTE 80 A;MALINCHE;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.106658;19.453912;19.453912,-99.106658;9m;WIFI GRATUITO_ACTIVO
C. ESTERLINAS;C. NORTE 72;PENSADOR MEXICANO;VENUSTIANO CARRANZA;CON BOTON;CON ALTAVOZ;-99.086494;19.445301;19.445301,-99.086494;9m;WIFI GRATUITO_ACTIVO
CALLE 6;AV. XOCHIMILCO;AGRICOLA PANTITLAN;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.058854;19.413049;19.413049,-99.058854;9m;WIFI GRATUITO_ACTIVO
C. SABINOS;CDA. SABINOS;SANTA ANITA;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.123229;19.404017;19.404017,-99.123229;9m;WIFI GRATUITO_ACTIVO
C. BREA;C. AÑIL;GRANJAS MEXICO PONIENTE;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.110182;19.404482;19.404482,-99.110182;9m;WIFI GRATUITO_ACTIVO
C. ORIENTE 112;C. SUR 127;GABRIAEL RAMOS MILLAN;IZTACALCO;CON BOTON;SIN ALTAVOZ;-99.10255;19.390518;19.390518,-99.10255;9m;WIFI GRATUITO_ACTIVO
C. SAN ANTONIO;C. MOCTEZUMA;SANTA LUCIA;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.2483;19.35872;19.35872,-99.2483;9m;SIN WIFI
C. SUR 28;C. ORIENTE 259;AGRICOLA ORIENTAL;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.063508;19.384286;19.384286,-99.063508;9m;WIFI GRATUITO_ACTIVO
VIADUCTO RIO DE LA PIEDAD;INTERIOR DEL DEPORTIVO (PUERTA 7);GRANJAS MEXICO;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.08352;19.405024;19.405024,-99.08352;9m;SIN WIFI
AV. CENTENARIO;AV. CARLOS LAZO (C. ALBORADA);BOSQUES DE TARANGO;ALVARO OBREGON;SIN BOTON;CON ALTAVOZ;-99.254213;19.346158;19.346158,-99.254213;9m;WIFI GRATUITO_ACTIVO
CALZ. DE LAS AGUILAS;4ta. CDA. DE LAS AGUILAS;AGUILA REAL;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.215943;19.353844;19.353844,-99.215943;9m;WIFI GRATUITO_ACTIVO
CDA. CIRCUITO SANTA FE;C. CIRCUITO SANTA FE;BUENAVISTA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.025816;19.326624;19.326624,-99.025816;9m;SIN WIFI
EJE 5 NORTE DEPORTIVO REYNOSA;INTERIOR ALAMEDA NORTE ENTRE SAN PABLO XALPA Y AVENIDA DE LAS GRANJAS;PUEBLO SANTA BARBARA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.178232;19.500976;19.500976,-99.178232;9m;SIN WIFI
AV. 22 DE FEBRERO;AV. JERUSALEM;DEL MAESTRO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.182992;19.483056;19.483056,-99.182992;9m;WIFI GRATUITO_ACTIVO
AV. CUITLAHUAC;C. CEYLAN;COSMOPOLITA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.161472;19.472945;19.472945,-99.161472;9m;WIFI GRATUITO_ACTIVO
C. FRANCISCO MARQUEZ;AV. FERROCARRIL CENTRAL;UNIDAD ECOLOGICA NOVEDADES IMPACTO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.190306;19.507237;19.507237,-99.190306;9m;SIN WIFI
CDA. SUBDIRECTORES TECNICOS Y MANUALES;C. TECNICOS Y MANUALES;EL VERGEL;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.088556;19.314236;19.314236,-99.088556;9m;SIN WIFI
PRIV. DE LOS ANGELES;CDA. SOFIA EUGENIA;PUEBLO SANTA BARBARA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.182572;19.497414;19.497414,-99.182572;9m;WIFI GRATUITO_ACTIVO
C. VILLA ATUEL;C. VILLA CARLOS;DESARROLLO URBANO QUETZALCOATL;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.041059;19.334843;19.334843,-99.041059;9m;SIN WIFI
C. REPUBLICA DE ECUADOR;REPUBLICA DE BRASIL;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.133031;19.442477;19.442477,-99.133031;9m;WIFI GRATUITO_ACTIVO
