DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
COMBATE DE LEON;ENTRE AVENIDA LUIS MENDEZ Y AVENIDA ANTONIO DIAZ SOTO Y GAMA;U.H. VICENTE GUERRERO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.061521;19.361757;19.361757,-99.061521;9m;WIFI GRATUITO_ACTIVO
C. REVOLUCION SOCIAL;CALLE 1 EMILIO ROSAS;CONSTITUCION DE 1917;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.056948;19.352495;19.352495,-99.056948;9m;SIN WIFI
AMANECER;HALO;VALLE DE LUCES 2a SECCION;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.103928;19.340627;19.340627,-99.103928;9m;WIFI GRATUITO_ACTIVO
AVENIDA JOSE MA. MORELOS;C. VENUS;EL MIRADOR;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.103527;19.338485;19.338485,-99.103527;9m;WIFI GRATUITO_ACTIVO
FUEGO FATUO;ENTRE C. CAMINO A LOS REYES Y C. FUTURO (EN ESQUINA SIN NOMBRE);U.H. VALLE DE LUCES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.105243;19.341846;19.341846,-99.105243;9m;WIFI GRATUITO_ACTIVO
AGUJAS;JACARANDAS;EL VERGEL;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.083389;19.316173;19.316173,-99.083389;9m;WIFI GRATUITO_ACTIVO
2A. CDA. DE PALMAS;CALLE 3;XALPA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.016813;19.335712;19.335712,-99.016813;9m;SIN WIFI
AVENIDA DE LAS MINAS;VIOLETA;XALPA;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.018336;19.33545;19.33545,-99.018336;9m;SIN WIFI
GUANABANA;2A. CERRADA AMAPOLA;XALPA;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.017242;19.338179;19.338179,-99.017242;9m;WIFI GRATUITO_ACTIVO
C. NISPERO;C. ESPIRITU SANTO;XALPA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.016861;19.341912;19.341912,-99.016861;9m;SIN WIFI
C. CUTBERTO AROCHE;C. LAUREANO ESTUDILLO;Z. U. STA. MARTHA ACATITLA NORTE;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.016989;19.37995;19.37995,-99.016989;9m;WIFI GRATUITO_ACTIVO
GRAL. FRANCISCO ARCE;GRAL. FELIPE DE LA GARZA;JUAN ESCUTIA;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.036656;19.389282;19.389282,-99.036656;9m;WIFI GRATUITO_ACTIVO
GRACIANO SANCHEZ;CUTBERTO AROCHE;SANTA MARTHA ACATITLA NORTE;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.011313;19.377944;19.377944,-99.011313;9m;WIFI GRATUITO_ACTIVO
C. JOSE DE LA LUZ BLANCO;C. CUTBERTO AROCHE;Z.U. STA. MARTHA ACATITLA NORTE;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.015903;19.379597;19.379597,-99.015903;9m;WIFI GRATUITO_ACTIVO
CACAMA;CJON. CITLALI (PARQUE NACIONAL CERRO DE LA ESTRELLA);ESTRELLA DEL SUR;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.097705;19.346378;19.346378,-99.097705;9mIR;WIFI GRATUITO_ACTIVO
CAMINO A LAS MINAS;ENTRE CALLE 3 Y C. CALVARIO;BUENAVISTA;IZTAPALAPA;N/A;N/A;-99.018182;19.316227;19.316227,-99.018182;20mIR;SIN WIFI
AV. CANAL DE CHALCO;AVENIDA SEVERIANO HEBERTO CASTILLO;U. H. DE LOS TRABAJADORES;TLAHUAC;N/A;N/A;-99.050688;19.277478;19.277478,-99.050688;20mIR;SIN WIFI
CAMINO VIEJO A ZAPOTITLA;C. LIRIO;DEGOLLADO;IZTAPALAPA;N/A;N/A;-99.037963;19.316785;19.316785,-99.037963;20mIR;SIN WIFI
C. 5 DE MAYO;C. SOR JUANA INES DE LA CRUZ;LAS PEÑAS;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.051717;19.341417;19.341417,-99.051717;9mIR;SIN WIFI
C. CAMINO REAL;C. OAXACA;SN. FCO. APOLOCALCO;IZTAPALAPA;N/A;N/A;-98.969203;19.324829;19.324829,-98.969203;20mIR;SIN WIFI
AHUATENCO;GALICIA;AHUATENCO;CUAJIMALPA;CON BOTON;CON ALTAVOZ;-99.305024;19.37129;19.37129,-99.305024;9mIR;WIFI GRATUITO_ACTIVO
PROL. SAN ISIDRO;ENTRE AMAZONAS Y PROVIDENCIA;SAN LORENZO TEZONCO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.055715;19.31256;19.31256,-99.055715;9mIR;WIFI GRATUITO_ACTIVO
CAMINO REAL A SAN BARTOLO;CDA. CERRITO;TETACALANCO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.065271;19.237257;19.237257,-99.065271;9mIR;WIFI GRATUITO_ACTIVO
CAMINO VIEJO A LAS MINAS;LA FLORIDA;DESARROLLO URBANO QUETZALCOATL;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.037459;19.317941;19.317941,-99.037459;9mIR;WIFI GRATUITO_ACTIVO
HERMENEGILDO GALEANA;ENTRE AV. LAS TORRES Y C. EMILIO LAURENT;ATOTOLCO CHINANCO;TLAHUAC;N/A;N/A;-99.025866;19.269404;19.269404,-99.025866;20mIR;SIN WIFI
C. LIMON;AVENIDA PRINCIPAL;SAN MIGUEL TEOTONGO SECC. LAS TORRES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-98.988689;19.352377;19.352377,-98.988689;9mIR;SIN WIFI
AVENIDA DE LAS MINAS;MANDARINA;XALPA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.019127;19.338179;19.338179,-99.019127;9mIR;WIFI GRATUITO_ACTIVO
BLVD NUEVO LEON PTE;TLAXCALA NTE;PUEBLO VILLA MILPA ALTA;MILPA ALTA;SIN BOTON;CON ALTAVOZ;-99.027919;19.196959;19.196959,-99.027919;9m;SIN WIFI
AVENIDA JALISCO PTE;ENTRE AVENIDA MEXICO NTE Y AVENIDA YUCATAN NTE;PUEBLO VILLA MILPA ALTA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.023086;19.191908;19.191908,-99.023086;9m;SIN WIFI
AVENIDA PUEBLA OTE;AVENIDA YUCATAN NTE;PUEBLO VILLA MILPA ALTA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.021155;19.194592;19.194592,-99.021155;9m;SIN WIFI
AVENIDA MEXICO OTE;AVENIDA PUEBLA OTE;PUEBLO VILLA MILPA ALTA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.023562;19.194773;19.194773,-99.023562;9m;WIFI GRATUITO_ACTIVO
C. CUAUHTEMOC;C. GUADALUPE VICTORIA NTE;PUEBLO SN. ANTONIO TECOMITL;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.99471;19.219582;19.219582,-98.99471;9m;WIFI GRATUITO_ACTIVO
C. JUAREZ;AVENIDA HIDALGO NORTE;PUEBLO SN. ANTONIO TECOMITL;MILPA ALTA;CON BOTON;SIN ALTAVOZ;-98.99315;19.217585;19.217585,-98.99315;9m;WIFI GRATUITO_ACTIVO
C. CUAUHTEMOC;C. MIGUEL HIDALGO;BARRIO TULA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.049514;19.203353;19.203353,-99.049514;9m;WIFI GRATUITO_ACTIVO
PRIV. 12 DE OCTUBRE;ENTRE AVENIDA 5 DE MAYO OTE Y C. 20 DE NOVIEMBRE;PUEBLO SN. ANTONIO TECOMITL;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.981449;19.21555;19.21555,-98.981449;9m;WIFI GRATUITO_ACTIVO
AGUSTIN DE ITURBIDE;FRANCISCO JAVIER MINA;PUEBLO SN. ANTONIO TECOMITL;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.992142;19.216039;19.216039,-98.992142;9m;WIFI GRATUITO_ACTIVO
AVENIDA FRANCISCO I. MADERO NTE;AVENIDA JUAREZ;PUEBLO SAN BARTOLOME XICOMULCO;MILPA ALTA;CON BOTON;SIN ALTAVOZ;-99.067533;19.206718;19.206718,-99.067533;9m;WIFI GRATUITO_ACTIVO
AVENIDA NIÑOS HEROES SUR;C. MARIANO ESCOBEDO;PUEBLO SN. PEDRO ATOCPAN;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.048181;19.198952;19.198952,-99.048181;9m;WIFI GRATUITO_ACTIVO
AVENIDA NIÑOS HEROES;AV. MORELOS;PUEBLO STA. ANA TLACOTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.993618;19.171286;19.171286,-98.993618;9m;SIN WIFI
GUADALUPE I. RAMIREZ;RICARDO FLORES MAGON;PUEBLO STA. ANA TLACOTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.001798;19.173455;19.173455,-99.001798;9m;WIFI GRATUITO_ACTIVO
C. GUADALUPE VICTORIA NTE;C. IGNACIO ALDAMA;PUEBLO STA. ANA TLACOTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.998687;19.177594;19.177594,-98.998687;9m;WIFI GRATUITO_ACTIVO
C. MORELOS;PROL. I. ZARAGOZA;PUEBLO SANTA ANA TLACOTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.994427;19.172524;19.172524,-98.994427;9m;WIFI GRATUITO_ACTIVO
AVENIDA NIÑOS HEROES;AVENIDA BENITO JUAREZ;PUEBLO STA. ANA TLACOTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.99864;19.173436;19.173436,-98.99864;9m;WIFI GRATUITO_ACTIVO
SAN LUIS POTOSI;CDA. SAN LUIS POTOSI;PUEBLO VILLA MILPA ALTA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.025387;19.188609;19.188609,-99.025387;9m;SIN WIFI
